id,price_usd,price_decile
31407515,220.0,7
31411427,361.0,9
31412553,221.0,7
31460257,125.0,4
31493518,63.0,0
31511845,99.0,2
31516196,88.0,2
31598200,125.0,4
31621623,139.0,5
31648019,108.0,3
31681782,183.0,6
31681784,282.0,8
31682606,150.0,5
31693217,67.0,0
31835900,122.0,4
31906884,136.0,5
31922275,120.0,4
32107182,100.0,3
32134137,204.0,7
32259212,267.0,8
32301460,180.0,6
32332610,110.0,3
32338208,125.0,4
32415241,282.0,8
32607516,154.0,5
32671236,325.0,8
32734094,265.0,8
32792238,325.0,8
32851430,134.0,5
32942664,165.0,6
32984082,325.0,8
33017346,235.0,7
33041360,70.0,0
33069007,335.0,8
33098499,101.0,3
33119826,1995.0,9
33160534,131.0,4
33190964,161.0,6
33296597,89.0,2
33521140,394.0,9
33550216,337.0,8
33658927,481.0,9
33663157,86.0,2
33666340,342.0,8
33773838,105.0,3
33774034,210.0,7
33798638,72.0,1
33807319,364.0,9
33807444,418.0,9
33807802,418.0,9
33807903,485.0,9
33990853,250.0,8
34086588,80.0,1
34095689,183.0,6
34152268,21.0,0
34207606,47.0,0
34441424,1033.0,9
34441430,247.0,8
34782201,153.0,5
34787446,25.0,0
34791824,71.0,1
34900080,94.0,2
34939398,999.0,9
35031057,189.0,6
35038518,165.0,6
35064768,77.0,1
35079780,114.0,3
35115113,999.0,9
35115885,999.0,9
35116434,999.0,9
35121441,999.0,9
35121972,999.0,9
35125703,55.0,0
35162584,25.0,0
35218486,307.0,8
35287564,599.0,9
35373849,114.0,3
35397847,139.0,5
35397853,203.0,7
35485678,150.0,5
35515854,74.0,1
35521639,139.0,5
35623115,95.0,2
35651969,107.0,3
35737803,179.0,6
35774025,229.0,7
35918507,1101.0,9
35963534,100.0,3
35971430,175.0,6
36100528,103.0,3
36180237,95.0,2
36263273,116.0,4
36506806,62.0,0
36550199,393.0,9
36624410,448.0,9
36688139,369.0,9
36727850,228.0,7
37314271,103.0,3
37325558,86.0,2
37721737,82.0,1
37974419,183.0,6
37990138,64.0,0
37997584,123.0,4
38052258,100.0,3
38074026,152.0,5
38097291,153.0,5
38135882,157.0,6
38540766,121.0,4
38597290,183.0,6
38622883,54.0,0
38670161,123.0,4
38799800,97.0,2
38877912,595.0,9
39177450,156.0,6
39199324,321.0,8
39225051,132.0,4
39444836,134.0,5
39577589,66.0,0
40091044,329.0,8
40284917,172.0,6
40489327,97.0,2
40610548,1000.0,9
41257317,46.0,0
41292632,307.0,8
41292656,360.0,9
41313257,125.0,4
41316941,140.0,5
41343517,142.0,5
41369383,156.0,6
41399818,317.0,8
41430658,200.0,7
41462738,306.0,8
41521300,130.0,4
41530112,1417.0,9
41530116,250.0,8
41535169,234.0,7
41552896,428.0,9
41595531,368.0,9
41685614,189.0,6
41717325,191.0,7
41800927,158.0,6
41839397,201.0,7
41869751,76.0,1
41947796,149.0,5
42011229,375.0,9
42116019,275.0,8
42225770,84.0,1
42278468,119.0,4
42286550,59.0,0
42305242,375.0,9
42464524,90.0,2
42464593,175.0,6
42542129,105.0,3
42586570,243.0,7
42615531,667.0,9
42758714,510.0,9
42966700,111.0,3
42975839,175.0,6
43047912,86.0,2
43051231,117.0,4
43056604,109.0,3
43123763,170.0,6
43256573,112.0,3
43379372,79.0,1
43403464,172.0,6
43496785,124.0,4
43660421,225.0,7
43731923,276.0,8
43789016,164.0,6
43906817,124.0,4
44059758,362.0,9
44076331,123.0,4
44105184,177.0,6
44154406,79.0,1
44244512,165.0,6
44267023,92.0,2
44299517,372.0,9
44373225,180.0,6
44385896,323.0,8
44404683,107.0,3
44449439,108.0,3
