id,url,status,http_code,file_path,file_size,width,height,mode,md5_hash,error
11489172,https://a0.muscache.com/pictures/f7d763f4-ab05-49ef-bfe2-a266d0623ac9.jpg,success_cached,200.0,c:\Prathik\MY DOCUMENTS\Rental_price_prediction\datasets\multimodal_v3\images\11489172.jpg,44549,496,330,RGB,24fde5200535b393565cde6438d86c98,
11553531,https://a0.muscache.com/pictures/677cac85-6c00-443b-a14c-50504d0e5ac4.jpg,success_cached,200.0,c:\Prathik\MY DOCUMENTS\Rental_price_prediction\datasets\multimodal_v3\images\11553531.jpg,1747287,4032,3024,RGB,61b735e93c9b8fc1d37aa6def335e408,
11609580,https://a0.muscache.com/pictures/1c018d86-a5c8-467e-803c-99e705ef760c.jpg,success_cached,200.0,c:\Prathik\MY DOCUMENTS\Rental_price_prediction\datasets\multimodal_v3\images\11609580.jpg,432515,1988,1212,RGB,fb97d2df2e670e1aa7ec4a7961082402,
6829875,https://a0.muscache.com/pictures/miso/Hosting-6829875/original/2cdb17e4-4fc8-48a4-a04f-eb4371fbbac9.jpeg,failed_http_404,404.0,,0,0,0,,,HTTP 404
11811039,https://a0.muscache.com/pictures/13753d7d-dded-41b8-b016-8840efb95a86.jpg,success_cached,200.0,c:\Prathik\MY DOCUMENTS\Rental_price_prediction\datasets\multimodal_v3\images\11811039.jpg,1482764,5709,3806,RGB,cbd0b1ab4f70bd7811476a3cc63f817d,
6698737,https://a0.muscache.com/pictures/miso/Hosting-6698737/original/3618a84e-dffd-47f4-a34c-7764bc53b02c.jpeg,failed_http_404,404.0,,0,0,0,,,HTTP 404
11938223,https://a0.muscache.com/pictures/miso/Hosting-11938223/original/333c52b8-ff03-49a2-b738-8b29bd46d387.jpeg,success_cached,200.0,c:\Prathik\MY DOCUMENTS\Rental_price_prediction\datasets\multimodal_v3\images\11938223.jpg,643294,1967,1311,RGB,1abfeb7a9166217c65d724cbede7c29d,
12281167,https://a0.muscache.com/pictures/c8366e02-f3b4-4a15-bb11-cde7a2a0f695.jpg,success_cached,200.0,c:\Prathik\MY DOCUMENTS\Rental_price_prediction\datasets\multimodal_v3\images\12281167.jpg,2128296,3264,2448,RGB,10453615d20e263931cee20944eac0e9,
6056098,https://a0.muscache.com/pictures/24d50b8b-bfa9-4544-9559-19c6d64ac9bf.jpg,failed_http_404,404.0,,0,0,0,,,HTTP 404
7947839,https://a0.muscache.com/pictures/eb5a4f28-3b92-4db9-8755-0e774f6ccb57.jpg,failed_http_404,404.0,,0,0,0,,,HTTP 404
6765734,https://a0.muscache.com/pictures/c3c8846c-4b56-4af6-a030-bcbbeb3aa1ec.jpg,failed_http_404,404.0,,0,0,0,,,HTTP 404
3369973,https://a0.muscache.com/pictures/a383c128-ab36-44ba-9a9c-a1ad2f451e7c.jpg,failed_http_404,404.0,,0,0,0,,,HTTP 404
6180513,https://a0.muscache.com/pictures/prohost-api/Hosting-6180513/original/ba8aad6a-6d0a-4a1d-a635-83017f990f8e.jpeg,failed_http_404,404.0,,0,0,0,,,HTTP 404
12763722,https://a0.muscache.com/pictures/prohost-api/Hosting-12763722/original/4825f490-e6a2-4dbe-9da3-e55470ca3233.jpeg,success_cached,200.0,c:\Prathik\MY DOCUMENTS\Rental_price_prediction\datasets\multimodal_v3\images\12763722.jpg,187615,1280,853,RGB,f041d2bd2551c01ca3355983de16c716,
12809255,https://a0.muscache.com/pictures/960a1e35-9a5c-42e9-b1c7-a2c6a6c9e6af.jpg,success_cached,200.0,c:\Prathik\MY DOCUMENTS\Rental_price_prediction\datasets\multimodal_v3\images\12809255.jpg,1468226,4160,3120,RGB,15de779d195a65b7aec9e07a44838dd4,
12813635,https://a0.muscache.com/pictures/miso/Hosting-12813635/original/487e3a7f-9edb-446b-8260-ef176997ea25.jpeg,success_cached,200.0,c:\Prathik\MY DOCUMENTS\Rental_price_prediction\datasets\multimodal_v3\images\12813635.jpg,1144012,2048,1536,RGB,0b199ab834ef1051911529d4be4c2a18,
4448604,https://a0.muscache.com/pictures/miso/Hosting-4448604/original/67b8cd3b-7f73-4a2c-9e23-327cf96adae4.jpeg,failed_http_404,404.0,,0,0,0,,,HTTP 404
